CTE,dCTE,rCurvature,r1,r2,r3,r4,r5,steerAngle
-0.0100939169673612,0,200,200,200,200,200,200,-0.025
-0.0117060938445474,-0.00161217687718618,200,200,200,200,200,200,-0.025
-0.0120991545792243,-0.000393060734676914,200,200,200,200,200,200,-0.025
-0.0135161138832241,-0.00141695930399979,200,200,200,200,200,200,-0.025
-0.015064681336095,-0.00154856745287095,200,200,200,200,200,200,-0.025
-0.0158556752865829,-0.000790993950487911,200,200,200,200,200,200,-0.025
-0.0181277453427831,-0.0022720700562001,200,200,200,200,200,200,-0.025
-0.0192338917828596,-0.00110614644007655,200,200,200,200,200,200,-0.025
-0.0205102061978231,-0.00127631441496346,200,200,200,200,200,200,-0.025
-0.0215456436362464,-0.00103543743842338,200,200,200,200,200,200,-0.025
-0.0231930966168144,-0.00164745298056792,200,200,200,200,200,200,-0.025
-0.0250204864889019,-0.0018273898720875,200,200,200,200,200,200,-0.024
-0.0270253309268032,-0.00200484443790133,200,200,200,200,200,200,-0.024
-0.0291930223374971,-0.00216769141069394,200,200,200,200,200,200,-0.024
-0.0301924676123023,-0.000999445274805132,200,200,200,200,200,200,-0.024
-0.0326713884208274,-0.00247892080852511,200,200,200,200,200,200,-0.023
-0.0343908568222238,-0.00171946840139644,200,200,200,200,200,200,-0.023
-0.0367276766920567,-0.00233681986983285,200,200,200,200,200,200,-0.023
-0.0387116818003873,-0.00198400510833065,200,200,200,200,200,200,-0.023
-0.0403973481596223,-0.00168566635923501,200,200,200,200,200,200,-0.023
-0.0426190626345062,-0.00222171447488385,200,200,200,200,200,200,-0.023
-0.0445275248560132,-0.00190846222150705,200,200,200,200,200,200,-0.023
-0.0465353526967398,-0.00200782784072653,200,200,200,200,200,200,-0.023
-0.0490623221923788,-0.00252696949563901,200,200,200,200,200,200,-0.023
-0.0512587867056079,-0.00219646451322913,200,200,200,200,200,200,-0.023
-0.0535448398945671,-0.00228605318895919,200,200,200,200,200,200,-0.023
-0.0550131467525029,-0.00146830685793584,200,200,200,200,200,200,-0.023
-0.0578924649206623,-0.00287931816815933,200,200,200,200,200,200,-0.023
-0.0595261351237736,-0.00163367020311133,200,200,200,200,200,200,-0.023
-0.0612373900097196,-0.00171125488594602,200,200,200,200,200,200,-0.023
-0.0630253552889041,-0.0017879652791845,200,200,200,200,200,200,-0.023
-0.0648857375824185,-0.00186038229351437,200,200,200,200,200,200,-0.023
-0.0677232755616805,-0.00283753797926206,200,200,200,200,200,200,-0.023
-0.0683946684084798,-0.000671392846799276,200,200,200,200,200,200,-0.023
-0.0704574496513549,-0.00206278124287507,200,200,200,200,200,200,-0.023
-0.0725830980807407,-0.0021256484293858,200,200,200,200,200,200,-0.023
-0.0747682636578965,-0.00218516557715581,200,200,200,200,200,200,-0.023
-0.0761048428935685,-0.00133657923567203,200,200,200,200,200,200,-0.023
-0.0779888898430826,-0.00188404694951404,200,200,200,200,200,200,-0.023
-0.0794413281775702,-0.0014524383344876,200,200,200,200,200,200,-0.023
-0.0809511569917661,-0.00150982881419595,200,200,200,200,200,200,-0.023
-0.0830038500322315,-0.00205269304046542,200,200,200,200,200,200,-0.023
-0.0846235059351987,-0.00161965590296721,200,200,200,200,200,200,-0.023
-0.0858768590495156,-0.00125335311431685,200,200,200,200,200,200,-0.023
-0.0876017266526391,-0.00172486760312353,200,200,200,200,200,200,-0.023
-0.0889604235771312,-0.00135869692449204,200,200,200,200,200,200,-0.023
-0.0894608608251731,-0.000500437248041954,200,200,200,200,200,200,-0.023
-0.0913387967407784,-0.00187793591560532,200,200,200,200,200,200,-0.023
-0.0928455279204387,-0.00150673117966021,200,200,200,200,200,200,-0.023
-0.0934881698007812,-0.000642641880342507,200,200,200,200,200,200,-0.023
-0.0950762893313315,-0.00158811953055031,200,200,200,200,200,200,-0.023
-0.0957878846488259,-0.000711595317494387,200,200,200,200,200,200,-0.023
-0.0969442580707191,-0.0011563734218932,200,200,200,200,200,200,-0.023
-0.0977019771512702,-0.000757719080551181,200,200,200,200,200,200,-0.023
-0.0993825171140137,-0.00168053996274349,200,200,200,200,200,200,-0.023
-0.100163001644985,-0.000780484530971765,200,200,200,200,200,200,-0.023
-0.100037730403939,0.000125271241046748,200,200,200,200,200,200,-0.023
-0.100399286668674,-0.000361556264734803,200,200,200,200,200,200,-0.023
-0.101170066378275,-0.000770779709601682,200,200,200,200,200,200,-0.022
-0.10192552788075,-0.000755461502474838,200,200,200,200,200,200,-0.022
-0.101752805751457,0.000172722129292965,200,200,200,200,200,200,-0.022
-0.102470404529139,-0.000717598777682057,200,200,200,200,200,200,-0.022
-0.101851572013653,0.000618832515485696,200,200,200,200,200,200,-0.022
-0.101649126438298,0.00020244557535555,200,200,200,200,200,200,-0.022
-0.102360816329757,-0.000711689891458991,200,200,200,200,200,200,-0.022
-0.101759519152455,0.000601297177301841,200,200,200,200,200,200,-0.022
-0.101598745962278,0.000160773190177196,200,200,200,200,200,200,-0.022
-0.101048865723997,0.000549880238281272,200,200,200,200,200,200,-0.022
-0.100955312542272,9.35531817248814e-05,200,200,200,200,200,200,-0.022
-0.099580149327907,0.00137516321436476,200,200,200,200,200,200,-0.022
-0.0995843204716843,-4.17114377732064e-06,200,200,200,200,200,200,-0.022
-0.099233429762899,0.000350890708785315,200,200,200,200,200,200,-0.022
-0.0980418079347223,0.00119162182817668,200,200,200,200,200,200,-0.023
-0.0982538031553171,-0.000211995220594854,200,200,200,200,200,200,-0.023
-0.0972126049227128,0.00104119823260429,200,200,200,200,200,200,-0.023
-0.0971492520432738,6.33528794390242e-05,200,200,200,200,200,200,-0.024
-0.096238193587389,0.00091105845588485,200,200,200,200,200,200,-0.024
-0.0953825298386046,0.000855663748784416,200,200,200,200,200,200,-0.024
-0.0949940489863438,0.000388480852260759,200,200,200,200,200,200,-0.025
-0.0942310803517891,0.000762968634554703,200,200,200,200,200,200,-0.025
-0.0935057476488969,0.000725332702892212,200,200,200,200,200,200,-0.025
-0.0919015621039884,0.0016041855449085,200,200,200,200,200,200,-0.025
-0.0908149535265702,0.00108660857741814,200,200,200,200,200,200,-0.025
-0.0901629725412281,0.000651980985342124,200,200,200,200,200,200,-0.025
-0.0886139656258366,0.0015490069153915,200,200,200,200,200,200,-0.025
-0.0870709899660902,0.00154297565974641,200,200,200,200,200,200,-0.025
