x,y,z
-244.581999994887,-1.7150009999869,0.52
-244.587107569435,-0.715014044386494,0.52
-244.592204523305,0.284972965953679,0.52
-244.597290803137,1.28496003114538,0.52
-244.602366355574,2.28494715130038,0.52
-244.607431127258,3.28493432653045,0.52
-244.612485064831,4.28492155694736,0.52
-244.617528114935,5.28490884266287,0.52
-244.622560224213,6.28489618378875,0.52
-244.627581339306,7.28488358043677,0.52
-244.632591406856,8.28487103271869,0.52
-244.637590373506,9.2848585407463,0.52
-244.642578185897,10.2848461046313,0.52
-244.647554790671,11.2848337244856,0.52
-244.652520134472,12.2848214004209,0.52
-244.657474163939,13.2848091325488,0.52
-244.662416825717,14.2847969209814,0.52
-244.667348066446,15.2847847658301,0.52
-244.67226783277,16.284772667207,0.52
-244.677176071329,17.2847606252237,0.52
-244.682072728766,18.2847486399919,0.52
-244.686957751723,19.2847367116235,0.52
-244.691831086843,20.2847248402303,0.52
-244.696692680766,21.2847130259239,0.52
-244.701542480136,22.2847012688162,0.52
-244.706380431594,23.284689569019,0.52
-244.711206481783,24.2846779266439,0.52
-244.716020577344,25.2846663418028,0.52
-244.720822664919,26.2846548146074,0.52
-244.725612691151,27.2846433451696,0.52
-244.730390602682,28.284631933601,0.52
-244.735156346153,29.2846205800134,0.52
-244.739909868207,30.2846092845187,0.52
-244.744651115486,31.2845980472285,0.52
-244.749380034631,32.2845868682547,0.52
-244.754096572286,33.284575747709,0.52
-244.758800675092,34.2845646857032,0.52
-244.763492289691,35.284553682349,0.52
-244.768171362724,36.2845427377582,0.52
-244.772837840836,37.2845318520426,0.52
-244.777491670666,38.284521025314,0.52
-244.782132798858,39.2845102576841,0.52
-244.786761172053,40.2844995492647,0.52
-244.791376736172,41.284488900167,0.52
-244.795979430727,42.2844783104975,0.52
-244.800569191866,43.2844677803599,0.52
-244.805145955712,44.2844573098583,0.52
-244.809709658385,45.2844468990964,0.52
-244.814260236007,46.2844365481781,0.52
-244.818797624698,47.2844262572074,0.52
-244.82332176058,48.284416026288,0.52
-244.827832579773,49.2844058555239,0.52
-244.832330018398,50.2843957450188,0.52
-244.836814012578,51.2843856948767,0.52
-244.841284498431,52.2843757052015,0.52
-244.845741412081,53.284365776097,0.52
-244.850184689647,54.2843559076671,0.52
-244.854614267251,55.2843461000156,0.52
-244.859030081013,56.2843363532465,0.52
-244.863432067056,57.2843266674635,0.52
-244.867820161499,58.2843170427706,0.52
-244.872194300464,59.2843074792716,0.52
-244.876554420072,60.2842979770705,0.52
-244.880900455582,61.2842885362697,0.52
-244.885232336347,62.2842791569635,0.52
-244.88954998925,63.2842698392423,0.52
-244.893853341162,64.2842605831967,0.52
-244.898142318957,65.2842513889171,0.52
-244.902416849508,66.2842422564941,0.52
-244.906676859687,67.2842331860182,0.52
-244.910922276368,68.2842241775799,0.52
-244.915153026423,69.2842152312698,0.52
-244.919369036725,70.2842063471783,0.52
-244.923570234147,71.2841975253959,0.52
-244.927756545561,72.2841887660132,0.52
-244.931927897841,73.2841800691206,0.52
-244.93608421786,74.2841714348087,0.52
-244.94022543249,75.2841628631681,0.52
-244.944351468604,76.2841543542891,0.52
-244.948462253075,77.2841459082623,0.52
-244.952557712776,78.2841375251783,0.52
-244.95663777458,79.2841292051276,0.52
-244.960702364742,80.2841209481994,0.52
-244.964751402763,81.2841127544701,0.52
-244.968784803966,82.2841046240081,0.52
-244.972802483613,83.2840965568816,0.52
-244.976804356966,84.2840885531587,0.52
-244.980790339287,85.2840806129078,0.52
-244.984760345839,86.2840727361969,0.52
-244.988714291884,87.2840649230944,0.52
-244.992652092683,88.2840571736684,0.52
-244.996573663499,89.2840494879871,0.52
-245.000478919595,90.2840418661189,0.52
-245.004367776231,91.2840343081317,0.52
-245.008240148672,92.284026814094,0.52
-245.012095952178,93.2840193840739,0.52
-245.015935102011,94.2840120181395,0.52
-245.019757513435,95.2840047163592,0.52
-245.02356310171,96.2839974788011,0.52
-245.0273517821,97.2839903055335,0.52
-245.031123469807,98.2839831966244,0.52
-245.034878075417,99.2839761521301,0.52
-245.038615501684,100.283969172087,0.52
-245.042335650601,101.283962256529,0.52
-245.046038424162,102.283955405491,0.52
-245.049723724361,103.283948619007,0.52
-245.053391453191,104.283941897111,0.52
-245.057041512647,105.283935239838,0.52
-245.060673804721,106.283928647222,0.52
-245.064288231407,107.283922119297,0.52
-245.0678846947,108.283915656098,0.52
-245.071463096593,109.283909257659,0.52
-245.07502333908,110.283902924015,0.52
-245.078565324154,111.283896655199,0.52
-245.082088953808,112.283890451246,0.52
-245.085594130038,113.28388431219,0.52
-245.089080754836,114.283878238066,0.52
-245.092548730197,115.283872228909,0.52
-245.095997957391,116.283866284749,0.52
-245.09942832889,117.283860405591,0.52
-245.102839731291,118.283854591421,0.52
-245.106232051081,119.283848842223,0.52
-245.10960517475,120.283843157982,0.52
-245.112958988786,121.283837538683,0.52
-245.116293379677,122.283831984311,0.52
-245.119608233912,123.283826494851,0.52
-245.12290343798,124.283821070287,0.52
-245.126178878369,125.283815710606,0.52
-245.129434441567,126.283810415791,0.52
-245.132670014064,127.283805185828,0.52
-245.135885482348,128.283800020702,0.52
-245.139080732906,129.283794920397,0.52
-245.142255652229,130.283789884899,0.52
-245.145410126804,131.283784914191,0.52
-245.14854404312,132.28378000826,0.52
-245.151657286523,133.283775167086,0.52
-245.154749731528,134.283770390608,0.52
-245.157821246677,135.283765678739,0.52
-245.160871700449,136.283761031397,0.52
-245.163900961324,137.283756448495,0.52
-245.166908897779,138.283751929949,0.52
-245.169895378294,139.283747475674,0.52
-245.172860271349,140.283743085585,0.52
-245.175803445421,141.283738759598,0.52
-245.178724768991,142.283734497626,0.52
-245.181624110537,143.283730299586,0.52
-245.184501338537,144.283726165393,0.52
-245.187356321473,145.28372209496,0.52
-245.190188927821,146.283718088205,0.52
-245.192999026061,147.283714145041,0.52
-245.195786484673,148.283710265384,0.52
-245.198551171719,149.283706449147,0.52
-245.201292945337,150.283702696198,0.52
-245.204011653536,151.283699006356,0.52
-245.206707143865,152.283695379441,0.52
-245.209379263876,153.283691815271,0.52
-245.21202786112,154.283688313665,0.52
-245.214652783147,155.28368487444,0.52
-245.217253877508,156.283681497417,0.52
-245.219830991754,157.283678182412,0.52
-245.222383973435,158.283674929245,0.52
-245.224912670103,159.283671737735,0.52
-245.227416929308,160.283668607699,0.52
-245.229896598602,161.283665538956,0.52
-245.232351525534,162.283662531326,0.52
-245.234781557655,163.283659584625,0.52
-245.237186542518,164.283656698674,0.52
-245.239566324359,165.283653873272,0.52
-245.241920731332,166.283651108133,0.52
-245.244249586708,167.283648402944,0.52
-245.246552713758,168.283645757393,0.52
-245.248829935754,169.283643171167,0.52
-245.251081075967,170.283640643953,0.52
-245.253305957669,171.283638175438,0.52
-245.25550440413,172.28363576531,0.52
-245.257676238623,173.283633413256,0.52
-245.259821284418,174.283631118963,0.52
-245.261939364787,175.283628882119,0.52
-245.264030303001,176.28362670241,0.52
-245.266093922332,177.283624579524,0.52
-245.26813004605,178.283622513148,0.52
-245.270138497428,179.28362050297,0.52
-245.272119094557,180.283618548644,0.52
-245.274071636817,181.283616649708,0.52
-245.275995919362,182.283614805673,0.52
-245.277891737347,183.28361301605,0.52
-245.279758885924,184.283611280351,0.52
-245.281597160249,185.283609598088,0.52
-245.283406355476,186.28360796877,0.52
-245.285186266758,187.283606391909,0.52
-245.286936689249,188.283604867017,0.52
-245.288657418103,189.283603393605,0.52
-245.290348248475,190.283601971185,0.52
-245.292008975518,191.283600599266,0.52
-245.293639394386,192.283599277361,0.52
-245.295239300234,193.283598004981,0.52
-245.29680848577,194.283596781619,0.52
-245.298346723605,195.283595606625,0.52
-245.299853776481,196.283594479278,0.52
-245.301329407071,197.283593398854,0.52
-245.302773378051,198.283592364633,0.52
-245.304185452092,199.283591375892,0.52
-245.30556539187,200.283590431909,0.52
