x,y,z
-293.551,120.76,4.556
-288.888,118.825,4.525
-284.234,116.842,4.506
-279.706,114.853,4.489
-275.116,112.781,4.48
-270.658,110.706,4.48
-266.15,108.557,4.48
-261.572,106.337,4.478
-257.07,104.119,4.479
-252.512,101.864,4.488
-248.118,99.68,4.497
-243.621,97.468,4.505
-238.948,95.202,4.51
-234.252,92.954,4.511
-229.748,90.816,4.512
-225.108,88.641,4.514
-220.448,86.476,4.52
-215.821,84.338,4.528
-211.368,82.287,4.533
-206.689,80.133,4.536
-202.019,77.992,4.542
-197.514,75.929,4.561
-192.734,73.742,4.588
-188.173,71.66,4.621
-183.409,69.489,4.652
-178.862,67.423,4.683
-174.111,65.215,4.717
-169.518,63.032,4.756
-165.028,60.983,4.804
-160.426,59.012,4.858
-155.615,57.162,4.91
-150.805,55.579,4.964
-145.972,54.254,4.996
-141.051,53.207,5.015
-136.113,52.477,5.041
-131.172,52.114,5.079
-126.225,52.128,5.128
-121.479,52.535,5.193
-116.839,53.339,5.264
-112.231,54.576,5.329
-107.63,56.315,5.407
-103.293,58.48,5.486
-99.172,61.098,5.557
-95.29,64.186,5.618
-91.904,67.513,5.69
-88.824,71.221,5.751
-86.108,75.244,5.805
-83.894,79.294,5.841
-82.109,83.436,5.877
-80.684,87.856,5.893
-79.683,92.522,5.879
-79.193,97.104,5.844
-79.183,101.631,5.779
-79.658,106.185,5.68
-80.649,110.719,5.578
-82.201,115.231,5.44
-84.317,119.589,5.306
-86.785,123.497,5.166
-89.604,127.058,5.015
-92.767,130.363,4.901
-96.381,133.534,4.813
-100.164,136.478,4.749
-103.811,139.166,4.712
-107.724,141.952,4.708
-111.675,144.692,4.689
-115.986,147.648,4.679
-120.236,150.455,4.666
-124.445,153.125,4.658
-128.896,155.837,4.644
-133.178,158.328,4.631
-137.479,160.715,4.625
-142.074,163.155,4.617
-146.662,165.494,4.615
-151.29,167.811,4.609
-155.903,170.108,4.603
-160.379,172.314,4.594
-165.098,174.579,4.588
-169.788,176.754,4.584
-174.364,178.835,4.582
-179.038,180.936,4.585
-183.745,183.034,4.588
-188.228,185.024,4.588
-192.718,187.019,4.588
-197.269,189.059,4.587
-202.011,191.192,4.589
-206.683,193.299,4.589
-211.409,195.435,4.586
-216.257,197.628,4.584
-221.024,199.787,4.581
-225.706,201.908,4.586
-230.57,204.114,4.595
-235.133,206.183,4.602
-239.716,208.261,4.603
-244.441,210.4,4.601
-249.136,212.524,4.607
-254.059,214.752,4.622
-258.81,216.904,4.641
-263.396,218.983,4.67
-267.885,221.024,4.7
-272.623,223.267,4.742
-277.325,225.473,4.803
-282.002,227.568,4.886
-286.667,229.528,4.974
-291.335,231.326,5.077
-296.087,232.933,5.179
-300.986,234.293,5.27
-305.893,235.281,5.374
-310.844,235.855,5.483
-315.998,235.952,5.615
-321.066,235.548,5.742
-326.146,234.588,5.865
-330.974,233.119,5.977
-335.709,231.095,6.075
-340.226,228.573,6.143
-344.401,225.646,6.181
-348.189,222.369,6.202
-351.562,218.821,6.209
-354.727,214.936,6.23
-357.385,210.919,6.213
-359.545,206.774,6.187
-361.269,202.29,6.123
-362.446,197.492,6.046
-363.009,192.641,5.918
-362.989,187.711,5.787
-362.43,182.837,5.639
-361.461,178.179,5.503
-360.141,173.61,5.389
-358.422,168.926,5.295
-356.517,164.401,5.249
-354.364,160.123,5.229
-351.832,155.893,5.232
-348.878,151.763,5.245
-345.485,147.807,5.262
-341.805,144.2,5.267
-337.808,140.924,5.263
-333.74,138.089,5.242
-329.372,135.47,5.173
-324.962,133.183,5.074
-320.24,131.051,4.954
-315.421,129.127,4.848
-310.547,127.306,4.754
-305.622,125.535,4.682
-300.983,123.749,4.638
-295.871,121.711,4.577
-293.551,120.76,4.556
