x,y,z
-233.045,92.409,4.67
-232.4378121,92.1199107,4.669
-231.8300155,91.83100737,4.669
-231.2212464,91.54311651,4.669
-230.6122785,91.25460572,4.669
-230.00267,90.96631683,4.669
-229.3922578,90.67859288,4.669
-228.781407,90.39066319,4.669
-228.1699455,90.10291552,4.669
-227.5580947,89.81498576,4.669
-226.9453053,89.52807931,4.669996239
-226.3325121,89.24018026,4.67
-225.7187153,88.95326921,4.67
-225.1048413,88.66533271,4.67
-224.4899915,88.37839602,4.670995136
-223.87479,88.09130199,4.671
-223.2594384,87.80360754,4.671994418
-222.6432951,87.51653523,4.672994651
-222.0265284,87.22964127,4.673994281
-221.4091446,86.94292476,4.674
-220.7919539,86.65484559,4.675987183
-220.173707,86.36818241,4.676992396
-219.55526,86.08097834,4.677993107
-218.9360412,85.79433358,4.678991869
-218.3165918,85.50712898,4.679992582
-217.6969745,85.21931073,4.680991977
-217.0764291,84.93250911,4.682982515
-216.4554983,84.64554109,4.683991146
-215.8343712,84.35795001,4.684989757
-215.2126534,84.07061278,4.685990896
-214.5905893,83.78304609,4.686989423
-213.9681583,83.49530913,4.68798851
-213.3449884,83.20821939,4.688988783
-212.7218227,82.920154,4.689989049
-212.0981196,82.63228596,4.69098859
-211.4734897,82.34543928,4.691988016
-210.8488696,82.05762629,4.692987409
-210.2238909,81.76963614,4.693
-209.5983719,81.48185159,4.693
-208.9725009,81.19391094,4.69398642
-208.3462846,80.90581146,4.694
-207.7199388,80.61712011,4.694
-207.0928903,80.32908356,4.694985821
-206.4652972,80.0412637,4.695
-205.8376851,79.75245698,4.695
-205.2093861,79.46430446,4.695
-204.5810098,79.17559911,4.695984086
-203.9523151,78.88673937,4.696
-203.3229206,78.59854234,4.696
-202.6933943,78.3097682,4.696983501
-202.0635667,78.02084726,4.697983227
-201.4334659,77.73180103,4.699966775
-200.8029038,77.44299397,4.70098272
-200.172057,77.15406414,4.702964954
-199.5407405,76.86536867,4.70594427
-198.9096365,76.57534798,4.707963117
-198.2776686,76.28633582,4.710944611
-197.6455823,75.99676442,4.713940368
-197.0130257,75.70749909,4.717923888
-196.3804022,75.41768189,4.720941222
-195.7473003,75.12808375,4.724916086
-195.1136408,74.83877122,4.728920122
-194.4798631,74.54888377,4.731939133
-193.8456068,74.25921413,4.735914288
-193.2112115,73.9690431,4.740895809
-192.5767516,73.6783019,4.744913376
-191.9414494,73.38858855,4.748909123
-191.3059769,73.09838313,4.753889946
-190.6700163,72.8083911,4.757911847
-190.0339876,72.51784676,4.762882358
-189.3975173,72.22761951,4.766908696
-188.7609747,71.93684089,4.771882459
-188.1237823,71.64672978,4.776883969
-187.4864504,71.35604712,4.780903132
-186.8488448,71.065227,4.785875825
-186.2109529,70.77427634,4.790874977
-185.5731121,70.48237417,4.794898984
-184.9348117,70.19068232,4.798894763
-184.2964065,69.89850892,4.803871423
-183.657622,69.60659566,4.80789595
-183.0189437,69.31376916,4.812867421
-182.3799454,69.02076997,4.816893925
-181.7404598,68.72799331,4.821863595
-181.1012338,68.43392917,4.82589212
-180.4620204,68.13930626,4.829887373
-179.8227745,67.84420578,4.834860919
-179.1834709,67.5485428,4.838884557
-178.5440858,67.25237777,4.843858484
-177.9046283,66.95564469,4.847883573
-177.2645431,66.65957618,4.851884106
-176.6245848,66.36262452,4.856854806
-175.9846137,66.06511836,4.860877606
-175.3442064,65.76791295,4.86487996
-174.7033628,65.47097154,4.869848964
-174.0622422,65.17391566,4.873879924
-173.4205945,64.87706475,4.878847395
-172.7783686,64.58040821,4.883841613
-172.1353218,64.28435496,4.887873582
-171.4912462,63.98927426,4.892842809
-170.8465122,63.69438155,4.897840991
-170.2011328,63.39965044,4.902836433
-169.5544382,63.10670847,4.907834326
-168.9073121,62.8136514,4.9128353
-168.2587209,62.52273928,4.91879919
-167.6091401,62.23287791,4.924795629
-166.9581744,61.94480986,4.930795628
-166.3060483,61.65812996,4.936788224
-165.6524408,61.37375988,4.942793805
-164.9980755,61.09000527,4.949753391
-164.3420662,60.80888049,4.956753867
-163.6842287,60.53081396,4.962788188
-163.0261152,60.25509986,4.97070725
-162.3695747,59.98277487,4.977748441
-161.7161524,59.71353752,4.984751812
-161.0654804,59.449522,4.991747523
-160.4182278,59.18933421,4.999712794
-159.7741325,58.93377727,5.006759055
-159.1333095,58.68273587,5.014721566
-158.4955686,58.43632949,5.021762982
-157.8608096,58.1943117,5.028759579
-157.2291846,57.95599037,5.035764989
-156.6000804,57.72280879,5.042765401
-155.9738848,57.49363997,5.048799826
-155.3501548,57.26924668,5.055773541
-154.7283551,57.05016683,5.061803649
-154.1079851,56.83686584,5.068774362
-153.4894556,56.62757963,5.074811111
-152.8724323,56.42342494,5.081779536
